Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated
2020-01-31,22185833.59037085,22185833.59037085,757900.0,0.0,1567650.1818181814,288002.0,0.0,862207.5999999999
2020-02-29,17637772.726988096,39823606.31735894,732631.5789473684,0.0,1485773.4545454544,278400.0,0.0,817175.3999999999
2020-03-31,16799682.456799295,56623288.77415824,757900.0,0.0,1512542.9090909087,288002.0,0.0,831898.5999999999
2020-04-30,12096993.143674448,68720281.91783269,305235.78947368416,0.0,1570909.0909090908,115989.59999999998,0.0,864000.0
2020-05-31,9411683.343455048,78131965.26128773,371467.36842105223,0.0,1571000.0,141157.59999999986,0.0,864050.0000000001
2020-06-30,10068260.637270255,88200225.89855799,321953.68421052606,0.0,1570909.0909090908,122342.3999999999,0.0,864000.0
2020-07-31,9843242.182752874,98043468.08131087,249466.8421052626,0.0,1571000.0,94797.39999999979,0.0,864050.0000000001
2020-08-31,15583013.024573486,113626481.10588436,469221.57894736796,0.0,1571000.0,178304.19999999984,0.0,864050.0000000001
2020-09-30,19485079.04196379,133111560.14784813,757894.7368421053,0.0,1309565.4545454544,288000.0,0.0,720261.0
2020-10-31,26022526.085458383,159134086.23330653,757900.0,0.0,1489093.818181818,288002.0,0.0,819001.5999999999
2020-11-30,25620210.69875151,184754296.93205804,757894.7368421053,0.0,1511828.7272727273,288000.0,0.0,831505.8
2020-12-31,31017855.149520483,215772152.08157852,757900.0,0.0,1550047.2727272727,288002.0,0.0,852526.0
2021-01-31,46921981.84277769,262694133.92435622,757900.0,251489.69696969618,1571000.0,288002.0,82991.59999999974,864050.0000000001
2021-02-28,42661030.03915216,305355163.96350837,707368.4210526316,285027.2727272727,1466181.8181818181,268800.0,94059.0,806400.0
2021-03-31,36039991.891907275,341395155.85541564,757900.0,61431.51515151451,1571000.0,288002.0,20272.39999999979,864050.0000000001
2021-04-30,35781266.509081535,377176422.3644972,757894.7368421053,0.0,1472730.5454545454,288000.0,0.0,810001.8
2021-05-31,43685314.0437513,420861736.4082485,757900.0,0.0,1462029.4545454544,288002.0,0.0,804116.2
2021-06-30,49384933.29743907,470246669.7056875,757894.7368421053,0.0,1378938.5454545452,288000.0,0.0,758416.2
2021-07-31,60910630.063725896,531157299.7694134,757900.0,0.0,1377325.818181818,288002.0,0.0,757529.2
2021-08-31,76343125.52036464,607500425.289778,757900.0,0.0,1430826.1818181816,288002.0,0.0,786954.3999999999
2021-09-30,108622828.90872353,716123254.1985016,757894.7368421053,0.0,1443400.3636363635,288000.0,0.0,793870.2
2021-10-31,150724990.588204,866848244.7867056,757900.0,872730.0,972311.0909090908,288002.0,288000.9,534771.1
2021-11-30,143926698.85818693,1010774943.6448926,757894.7368421053,46058.18181818168,1570909.0909090908,288000.0,15199.199999999953,864000.0
2021-12-31,196130779.75070342,1206905723.395596,757900.0,872730.0,1215434.3636363635,288002.0,288000.9,668488.9
2022-01-31,158189737.1480092,1365095460.5436053,757900.0,227704.2424242418,1571000.0,288002.0,75142.39999999979,864050.0000000001
2022-02-28,144166101.69287634,1509261562.2364817,707368.4210526316,154941.81818181832,1466181.8181818181,268800.0,51130.80000000005,806400.0
2022-03-31,221061053.47205043,1730322615.708532,757900.0,872730.0,1018196.9090909088,288002.0,288000.9,560008.2999999999
2022-04-30,164172528.384357,1894495144.092889,757894.7368421053,0.0,1357324.3636363633,288000.0,0.0,746528.3999999999
2022-05-31,155892578.63506746,2050387722.7279565,757900.0,0.0,1362247.2727272727,288002.0,0.0,749236.0
2022-06-30,164847400.63198364,2215235123.35994,757894.7368421053,0.0,1270853.4545454544,288000.0,0.0,698969.3999999999
2022-07-31,205221025.60676396,2420456148.966704,757900.0,872730.0,657892.5454545452,288002.0,288000.9,361840.8999999999
2022-08-31,281988795.54733646,2702444944.5140405,757900.0,872730.0,804936.1818181815,288002.0,288000.9,442714.8999999999
2022-09-30,236635675.29693875,2939080619.810979,757894.7368421053,872727.2727272727,743594.1818181816,288000.0,288000.0,408976.79999999993
2022-10-31,194896278.22641227,3133976898.037391,757900.0,872730.0,824009.6363636361,288002.0,288000.9,453205.29999999993
2022-11-30,187580650.14514482,3321557548.182536,757894.7368421053,872727.2727272727,950457.8181818182,288000.0,288000.0,522751.80000000005
2022-12-31,187214932.89274138,3508772481.0752773,757900.0,872730.0,1000622.3636363634,288002.0,288000.9,550342.2999999999
