Time_Period,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,22136841.99603256,22136841.99603256,783157.8947368421,0.0,1550198.1818181819,297600.0,0.0,852609.0,0.0,0.0,0.0
2020-02-29,17637766.09187841,39774608.087910965,732631.5789473684,0.0,1485772.7272727273,278400.0,0.0,817175.0,0.0,0.0,0.0
2020-03-31,16789894.862091098,56564502.95000206,783157.8947368421,0.0,1495090.909090909,297600.0,0.0,822300.0,0.0,0.0,0.0
2020-04-30,13619828.035041826,70184330.98504388,601042.105263158,0.0,1570909.0909090908,115989.0,0.0,864000.0,295807.89473684214,0.0,0.0
2020-05-31,37342695.26378019,107527026.24882407,864000.0,864000.0,2592000.0,112407.0,0.0,892800.0,864000.0,864000.0,968727.2727272727
2020-06-30,15523263.124652514,123050289.3734766,321952.6315789474,0.0,2592000.0,122342.0,0.0,864000.0,864000.0,864000.0,1989818.1818181819
2020-07-31,12926210.412564661,135976499.78604126,173807.8947368421,0.0,2225454.545454546,66047.0,0.0,892800.0,864000.0,864000.0,2592000.0
2020-08-31,15582965.49042601,151559465.27646726,393563.15789473685,0.0,1623272.7272727273,149554.0,0.0,892800.0,864000.0,864000.0,2592000.0
2020-09-30,19485079.04196379,171044544.31843105,757894.7368421053,0.0,1309565.4545454546,288000.0,0.0,720261.0,864000.0,864000.0,2592000.0
2020-10-31,9943375.637111224,180987919.95554227,677052.6315789474,0.0,391469.0909090908,297600.0,0.0,809403.0,757894.7368421053,864000.0,1511827.2727272727
2020-11-30,41304444.36732139,222292364.32286364,864000.0,0.0,2592000.0,288000.0,0.0,831505.0,864000.0,864000.0,2592000.0
2020-12-31,30920775.390435815,253213139.71329945,783157.8947368421,0.0,1532596.3636363635,297600.0,0.0,842928.0,864000.0,864000.0,2592000.0
2021-01-31,9159079.417954482,262372219.13125393,545684.2105263158,135281.81818181818,0.0,297600.0,44643.0,892800.0,626526.3157894737,864000.0,968727.2727272727
2021-02-28,51426801.133970894,313799020.2652248,864000.0,0.0,2592000.0,268800.0,94059.0,806400.0,783157.8947368421,578972.7272727273,2094545.4545454546
2021-03-31,43369099.86531889,357168120.1305437,864000.0,0.0,2087861.8181818181,297600.0,0.0,874724.0,864000.0,578972.7272727273,2592000.0
2021-04-30,47513152.76363673,404681272.8941804,757894.7368421053,285027.2727272727,1472729.0909090908,288000.0,0.0,810001.0,864000.0,864000.0,2592000.0
2021-05-31,43491389.8429889,448172662.7371693,783157.8947368421,0.0,1444578.1818181819,297600.0,0.0,794518.0,864000.0,864000.0,2592000.0
2021-06-30,49384922.720930025,497557585.45809937,757894.7368421053,0.0,1378938.1818181819,288000.0,0.0,758416.0,864000.0,864000.0,2592000.0
2021-07-31,60654469.11036231,558212054.5684617,783157.8947368421,0.0,1359874.5454545454,297600.0,0.0,747931.0,864000.0,864000.0,2592000.0
2021-08-31,75988926.8428694,634200981.411331,783157.8947368421,0.0,1413374.5454545454,297600.0,0.0,777356.0,864000.0,864000.0,2592000.0
2021-09-30,108622805.33717208,742823786.7485031,757894.7368421053,0.0,1443400.0,288000.0,0.0,793870.0,864000.0,864000.0,2592000.0
2021-10-31,47515655.37999745,790339442.1285006,358736.84210526326,762345.4545454542,0.0,297600.0,251573.99999999988,561600.0000000001,439578.9473684211,864000.0,1570909.0909090908
2021-11-30,227259468.11288384,1017598910.2413844,864000.0,0.0,2592000.0,288000.0,15199.0,864000.0,545684.2105263158,817942.4242424242,2592000.0
2021-12-31,56522679.74496003,1074121589.9863443,864000.0,864000.0,0.0,297600.0,269921.0,676970.0,626526.3157894737,864000.0,1361145.4545454546
2022-01-31,167438377.45088807,1241559967.4372325,864000.0,111496.9696969697,1728309.0909090908,297600.0,36794.0,892800.0,707368.4210526316,864000.0,1466181.8181818181
2022-02-28,239851165.1940718,1481411132.6313043,864000.0,154939.39393939395,2592000.0,268800.0,51130.0,806400.0,864000.0,864000.0,2592000.0
2022-03-31,19469626.750137977,1500880759.3814423,490105.26315789483,0.0,0.0,297600.0,0.0,838411.0,570947.3684210527,864000.0,1067616.3636363638
2022-04-30,195983965.46686625,1696864724.8483086,864000.0,0.0,1634503.6363636362,288000.0,0.0,746528.0,677052.6315789474,864000.0,1344796.3636363635
2022-05-31,275419581.71336496,1972284306.5616736,864000.0,0.0,2592000.0,297600.0,0.0,739638.0,757894.7368421053,864000.0,2592000.0
2022-06-30,168929709.37870872,2141214015.9403825,864000.0,0.0,1270852.7272727273,288000.0,0.0,698969.0,864000.0,864000.0,2592000.0
2022-07-31,0.0,2141214015.9403825,0.0,0.0,0.0,297600.0,285120.0,355123.0,80842.10526315786,0.0,1946321.8181818184
2022-08-31,87018168.43240696,2228232184.3727894,702315.7894736843,864000.0,0.0,297600.0,285120.0,435997.0,0.0,0.0,1153600.0000000002
2022-09-30,86454785.54577371,2314686969.918563,757894.7368421053,864000.0,0.0,288000.0,285120.0,411856.0,0.0,0.0,404770.9090909093
2022-10-31,137667874.52647787,2452354844.4450407,783157.8947368421,864000.0,407025.45454545435,297600.0,285120.0,446488.0,0.0,0.0,0.0
2022-11-30,190202170.13558862,2642557014.5806293,864000.0,864000.0,955692.7272727273,288000.0,285120.0,525631.0,106105.26315789472,0.0,0.0
2022-12-31,183054119.8165808,2825611134.39721,677052.6315789474,864000.0,988409.0909090908,297600.0,285120.0,543625.0,0.0,0.0,0.0
