Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,26658645.42177441,26658645.42177441,783157.8947368421,0.0,1550198.1818181819,297600.0,0.0,852609.0,0.0,0.0,0.0
2020-02-29,21149024.242770176,47807669.66454458,732631.5789473684,0.0,1485772.7272727273,278400.0,0.0,817175.0,0.0,0.0,0.0
2020-03-31,20054769.01120405,67862438.67574863,783157.8947368421,0.0,1495090.909090909,297600.0,0.0,822300.0,0.0,0.0,0.0
2020-04-30,15119009.76914404,82981448.44489267,864000.0,0.0,1258161.8181818181,288000.0,0.0,691989.0,106105.26315789469,0.0,0.0
2020-05-31,42311557.333938174,125293005.77883086,864000.0,864000.0,2592000.0,112407.0,0.0,892800.0,674297.3684210526,864000.0,968727.2727272728
2020-06-30,20052501.665493716,145345507.44432458,511655.26315789483,0.0,2592000.0,122342.0,0.0,864000.0,864000.0,864000.0,1989818.181818182
2020-07-31,15941095.56606118,161286603.01038575,173807.8947368421,0.0,2225454.5454545454,66047.0,0.0,892800.0,864000.0,864000.0,2592000.0
2020-08-31,18500114.543810017,179786717.55419576,783157.8947368421,0.0,1354098.1818181819,297600.0,0.0,744754.0,864000.0,864000.0,2592000.0
2020-09-30,23360023.766539887,203146741.32073563,757894.7368421053,0.0,1309565.4545454546,288000.0,0.0,720261.0,864000.0,864000.0,2592000.0
2020-10-31,11462112.104630068,214608853.4253657,677052.6315789474,0.0,391469.0909090908,297600.0,0.0,809403.0,757894.7368421053,864000.0,1511827.2727272727
2020-11-30,50486355.61399044,265095209.0393561,864000.0,0.0,2592000.0,288000.0,0.0,831505.0,864000.0,864000.0,2592000.0
2020-12-31,37365389.56976738,302460598.60912347,783157.8947368421,0.0,1532596.3636363635,297600.0,0.0,842928.0,864000.0,864000.0,2592000.0
2021-01-31,9679961.228215083,312140559.83733857,545684.2105263158,135281.81818181818,0.0,297600.0,44643.0,892800.0,626526.3157894737,864000.0,968727.2727272728
2021-02-28,62847078.4468858,374987638.2842244,864000.0,0.0,2592000.0,268800.0,94059.0,806400.0,783157.8947368421,578972.7272727273,2094545.4545454546
2021-03-31,52753336.6214509,427740974.9056753,864000.0,0.0,2087861.8181818181,297600.0,0.0,874724.0,864000.0,578972.7272727273,2592000.0
2021-04-30,56057099.28684214,483798074.1925174,757894.7368421053,285027.2727272727,1472729.0909090908,288000.0,0.0,810001.0,864000.0,864000.0,2592000.0
2021-05-31,52719270.09464641,536517344.2871638,783157.8947368421,0.0,1444578.1818181819,297600.0,0.0,794518.0,864000.0,864000.0,2592000.0
2021-06-30,59690003.457320295,596207347.7444841,757894.7368421053,0.0,1378938.1818181819,288000.0,0.0,758416.0,864000.0,864000.0,2592000.0
2021-07-31,73269797.16763163,669477144.9121157,783157.8947368421,0.0,1359874.5454545454,297600.0,0.0,747931.0,864000.0,864000.0,2592000.0
2021-08-31,92104999.70808591,761582144.6202016,783157.8947368421,0.0,1413374.5454545454,297600.0,0.0,777356.0,864000.0,864000.0,2592000.0
2021-09-30,132465511.8170835,894047656.4372851,757894.7368421053,0.0,1443400.0,288000.0,0.0,793870.0,864000.0,864000.0,2592000.0
2021-10-31,56279361.125041895,950327017.5623269,358736.8421052633,864000.0,0.0,297600.0,285120.0,528054.0,439578.9473684212,864000.0,1631901.8181818181
2021-11-30,271938973.02151597,1222265990.5838428,864000.0,864000.0,2040241.8181818181,288000.0,285120.0,594079.0,545684.2105263158,864000.0,2592000.0
2021-12-31,60369922.995124355,1282635913.578967,864000.0,864000.0,0.0,297600.0,285120.0,661771.0,626526.3157894737,864000.0,1388780.0
2022-01-31,153781443.14741424,1436417356.7263813,864000.0,864000.0,853409.0909090908,297600.0,285120.0,644474.0,707368.4210526316,864000.0,1070418.1818181819
2022-02-28,334338399.44077754,1770755756.1671588,864000.0,814545.4545454546,2592000.0,268800.0,268800.0,588730.0,864000.0,864000.0,2592000.0
2022-03-31,80957654.6799478,1851713410.8471067,490105.26315789483,864000.0,0.0,297600.0,285120.0,553291.0,570947.3684210527,864000.0,1586016.3636363638
2022-04-30,102787624.50855677,1954501035.3556635,864000.0,864000.0,79303.63636363624,288000.0,285120.0,461408.0,677052.6315789474,864000.0,826396.3636363636
2022-05-31,401307310.610894,2355808345.9665575,864000.0,864000.0,2592000.0,297600.0,285120.0,454518.0,757894.7368421053,864000.0,2592000.0
2022-06-30,134662650.95760694,2490470996.9241643,864000.0,0.0,752452.7272727273,288000.0,285120.0,413849.0,864000.0,0.0,2592000.0
2022-07-31,64561871.77425833,2555032868.6984224,0.0,864000.0,0.0,297600.0,285120.0,355123.0,80842.10526315783,0.0,1946321.8181818181
2022-08-31,92557997.69268161,2647590866.391104,702315.7894736843,864000.0,0.0,297600.0,285120.0,435997.0,0.0,0.0,1153600.0
2022-09-30,91894782.85985485,2739485649.250959,757894.7368421053,864000.0,0.0,288000.0,285120.0,411856.0,0.0,0.0,404770.90909090906
2022-10-31,156983973.62157792,2896469622.8725367,783157.8947368421,864000.0,407025.4545454546,297600.0,285120.0,446488.0,0.0,0.0,0.0
2022-11-30,223545491.25756085,3120015114.1300974,864000.0,864000.0,955692.7272727273,288000.0,285120.0,525631.0,106105.26315789469,0.0,0.0
2022-12-31,215972905.03726184,3335988019.1673594,677052.6315789474,864000.0,988409.0909090908,297600.0,285120.0,543625.0,0.0,0.0,0.0
