Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,21980088.061524034,21980088.061524034,864000.0,0.0,1494344.727272727,328320.0,0.0,821889.5999999999,0.0,0.0,0.0
2020-02-29,28462244.30603043,50442332.36755446,864000.0,0.0,2592000.0,260375.3999999999,0.0,835200.0,178801.57894736863,0.0,1073454.5454545454
2020-03-31,11937726.33670151,62380058.704255976,418831.57894736785,0.0,1152000.0,227100.59999999986,0.0,892800.0,0.0,0.0,602181.8181818181
2020-04-30,20461493.754475664,82841552.45873164,601045.2631578947,0.0,2592000.0,115989.59999999998,0.0,864000.0,295809.4736842105,0.0,1623272.7272727273
2020-05-31,16650079.752921034,99491632.21165267,864000.0,0.0,2592000.0,112407.59999999998,0.0,892800.0,864000.0,0.0,2592000.0
2020-06-30,8524156.934305646,108015789.1459583,25326.315789473163,0.0,1570909.0909090908,122342.3999999999,0.0,864000.0,567372.6315789471,0.0,2592000.0
2020-07-31,8710167.28071733,116725956.42667563,0.0,0.0,1623272.7272727273,66047.3999999999,0.0,892800.0,393563.68421052623,0.0,2592000.0
2020-08-31,0.0,116725956.42667563,0.0,0.0,0.0,149554.19999999995,0.0,892800.0,0.0,0.0,968727.2727272728
2020-09-30,34765575.35089914,151491531.77757478,864000.0,0.0,2592000.0,153406.1999999999,0.0,854854.8,460299.4736842108,0.0,2006445.8181818184
2020-10-31,5609748.050908509,157101279.82848328,864000.0,0.0,0.0,328320.0,0.0,778683.5999999999,460299.4736842108,0.0,590657.454545455
2020-11-30,18854670.047254406,175955949.8757377,864000.0,0.0,980251.6363636358,255505.80000000005,0.0,864000.0,651915.7894736843,0.0,0.0
2020-12-31,77183252.58514461,253139202.4608823,864000.0,864000.0,2592000.0,247728.0,0.0,892800.0,864000.0,864000.0,968727.2727272728
2021-01-31,51288529.58679599,304427732.0476783,864000.0,42192.72727272685,2120727.2727272725,328320.0,13923.59999999986,892800.0,864000.0,864000.0,1466181.8181818181
2021-02-28,55803475.99723311,360231208.0449114,864000.0,104663.63636363637,2592000.0,328320.0,34539.0,806400.0,864000.0,864000.0,2592000.0
2021-03-31,33632122.076067396,393863330.1209788,864000.0,0.0,1534553.4545454544,328320.0,0.0,844004.3999999999,864000.0,864000.0,2592000.0
2021-04-30,35156004.608473256,429019334.729452,864000.0,0.0,1399421.4545454546,328320.0,0.0,769681.8,864000.0,864000.0,2592000.0
2021-05-31,42870741.17274877,471890075.90220076,864000.0,0.0,1388723.9999999998,328320.0,0.0,763798.2,864000.0,864000.0,2592000.0
2021-06-30,48551622.67398924,520441698.57619,864000.0,0.0,1305629.4545454544,328320.0,0.0,718096.2,864000.0,864000.0,2592000.0
2021-07-31,58863605.49286747,579305304.0690575,864000.0,0.0,1277110.9090909085,328320.0,0.0,717211.2,864000.0,864000.0,2565090.545454545
2021-08-31,0.0,579305304.0690575,0.0,0.0,0.0,328320.0,89386.80000000016,657249.5999999997,0.0,593130.9090909086,1370091.2727272727
2021-09-30,185185355.832568,764490659.9016254,864000.0,0.0,2592000.0,328320.0,0.0,753550.2,0.0,593130.9090909086,2592000.0
2021-10-31,23342799.96798207,787833459.8696074,864000.0,0.0,0.0,328320.0,0.0,782454.0,0.0,593130.9090909086,1169356.3636363638
2021-11-30,14163196.823821338,801996656.6934288,864000.0,0.0,0.0,328320.0,195733.19999999984,643146.0000000001,0.0,0.0,0.0
2021-12-31,255718263.11383173,1057714919.8072605,864000.0,864000.0,1719158.1818181816,66571.80000000005,285120.0,892800.0,688811.0526315788,0.0,95885.45454545444
2022-01-31,279286056.3420437,1337000976.1493042,864000.0,864000.0,2592000.0,270137.3999999999,285120.0,671937.0,841923.157894737,0.0,1466181.8181818181
2022-02-28,279761744.48445934,1616762720.6337636,864000.0,864000.0,2592000.0,319930.80000000005,0.0,806400.0,864000.0,864000.0,2592000.0
2022-03-31,34322744.064676225,1651085464.6984398,864000.0,0.0,0.0,328320.0,0.0,807691.2,864000.0,864000.0,1123470.5454545456
2022-04-30,177244712.75526956,1828330177.4537094,864000.0,0.0,1449486.5454545452,328320.0,0.0,706208.3999999999,864000.0,864000.0,1288941.8181818181
2022-05-31,275419581.71336496,2103749759.1670742,864000.0,0.0,2592000.0,328320.0,0.0,708918.0,864000.0,864000.0,2592000.0
2022-06-30,81356386.95339629,2185106146.1204705,864000.0,0.0,450638.18181818136,328320.0,285120.0,373529.3999999999,864000.0,0.0,2363493.818181818
2022-07-31,0.0,2185106146.1204705,0.0,0.0,0.0,328320.0,0.0,609523.7999999999,0.0,0.0,1255268.727272727
2022-08-31,34978092.17962059,2220084238.3000913,864000.0,0.0,0.0,328320.0,0.0,690397.7999999999,0.0,0.0,0.0
2022-09-30,226498784.5077769,2446583022.807868,864000.0,864000.0,675521.4545454544,328320.0,285120.0,371536.79999999993,0.0,0.0,0.0
2022-10-31,188275493.84563762,2634858516.653506,864000.0,864000.0,755942.1818181818,328320.0,285120.0,415768.19999999995,0.0,0.0,0.0
2022-11-30,186284751.48593318,2821143268.139439,864000.0,0.0,1400785.090909091,328320.0,0.0,770431.8,0.0,0.0,0.0
2022-12-31,181862081.88077527,3003005350.0202146,864000.0,864000.0,932554.909090909,328320.0,285120.0,512905.19999999995,0.0,0.0,0.0
