fuel,coal,coal,coal,oil,oil,oil,gas,gas,gas
metric,bought_exp,generated_exp,stored_exp,bought_exp,generated_exp,stored_exp,bought_exp,generated_exp,stored_exp
Unnamed: 0,,,,,,,,,
2020-01-31,757900.0,288002.0,0.0,0.0,0.0,0.0,1567650.1818181816,862207.5999999999,0.0
2020-02-29,757900.0,288002.0,0.0,0.0,0.0,0.0,1519657.6363636362,807573.3999999999,51342.36363636375
2020-03-31,757900.0,279964.1499999999,21152.23684210542,0.0,0.0,0.0,1571000.0,839936.45,131124.83636363677
2020-04-30,757900.0,240279.93000000002,146736.63157894745,0.0,0.0,0.0,1571000.0,739709.67,357198.1636363642
2020-05-31,757900.0,209096.9000000001,354381.6315789472,0.0,0.0,0.0,1571000.0,796110.6999999998,480724.1636363645
2020-06-30,757900.0,288002.0,386564.84210526315,87273.0,0.0,87273.0,1571000.0,698340.3999999999,764912.9090909101
2020-07-31,757900.0,157864.42,729032.1578947369,33635.21212121186,11099.619999999915,87273.0,1571000.0,789883.36,899761.3454545466
2020-08-31,742474.3157894728,271170.4599999996,757900.0,0.0,0.0,87273.0,1571000.0,771183.7400000003,1068609.0909090915
2020-09-30,757900.0,288002.0,757900.0,0.0,0.0,174546.0,1571000.0,720259.0,1345288.8000000007
2020-10-31,757900.0,288002.0,757900.0,0.0,0.0,174546.0,1555013.3818181804,819001.5999999999,1411208.3636363638
2020-11-30,757900.0,288002.0,757900.0,0.0,0.0,174546.0,1571000.0,831503.8,1470383.2727272727
2020-12-31,757900.0,288002.0,757900.0,436365.0,0.0,872730.0,1560523.6363636362,852526.0,1518590.9090909092
2021-01-31,757900.0,288002.0,757900.0,125744.84848484812,82991.59999999974,746985.1515151518,785500.0,864050.0000000001,733090.9090909092
2021-02-28,757900.0,288002.0,757900.0,113419.69696969698,129796.95000000023,467080.7575757573,1418700.0909090904,751460.0499999998,785500.0
2021-03-31,757900.0,288002.0,757900.0,0.0,20272.399999999787,689603.7121212126,1571000.0,864050.0000000001,1335350.0
2021-04-30,757900.0,288002.0,757900.0,0.0,0.0,689603.7121212126,1487467.8727272728,809999.8,1350090.9636363636
2021-05-31,757900.0,288002.0,757900.0,0.0,0.0,689603.7121212126,1363135.9818181815,804116.2,1251197.4909090907
2021-06-30,757900.0,288002.0,757900.0,117988.75757575728,0.0,848157.3939393943,1494173.9636363636,758414.2000000001,1453830.8727272728
2021-07-31,757900.0,288002.0,757900.0,52367.545454545354,17281.289999999968,848157.3939393943,1396693.2363636363,740247.91,1504618.8181818181
2021-08-31,757900.0,288002.0,757900.0,87273.0,28800.090000000004,848157.3939393943,1199090.6181818177,758154.3099999999,1325247.0545454542
2021-09-30,757900.0,288002.0,757900.0,174546.0,53545.70000000005,872730.0,1468917.3818181816,740322.4999999999,1571000.0
2021-10-31,757900.0,288002.0,757900.0,385050.545454545,127066.67999999986,872730.0,137343.59999999983,695705.3200000001,443424.83636363596
2021-11-30,757900.0,288002.0,757900.0,174546.0,288000.9,174546.0,1571000.0,591196.2999999999,939522.4727272724
2021-12-31,757900.0,288002.0,757900.0,872730.0,209776.46,673408.7575757577,785500.0,746713.3400000001,604165.9272727271
2022-01-31,757900.0,288002.0,757900.0,872730.0,229739.13000000003,849959.5757575758,1199709.4545454544,709453.2699999999,513960.34545454546
2022-02-28,757900.0,288002.0,757900.0,436365.0,280486.66000000003,436365.0,1285798.0909090908,557842.14,785500.0
2022-03-31,303160.0,288002.0,303160.0,644706.7272727266,212753.2199999998,741820.5,152729.53636363635,635255.9800000002,333068.66363636334
2022-04-30,757900.0,288002.0,303160.0,349092.0,288000.9,218182.5,1541171.2727272727,458525.4999999999,1040557.2090909089
2022-05-31,757900.0,288002.0,303160.0,160962.37878787855,9917.449999999924,349092.0,1571000.0,739318.55,1267341.6636363633
2022-06-30,757900.0,288002.0,378950.0,523638.0,28800.090000000004,872730.0,1450939.9272727272,670167.3099999999,1571000.0
2022-07-31,454740.0,288002.0,75790.0,523638.0,264203.22,595752.1818181821,383498.07272727246,385638.57999999996,1253337.018181818
2022-08-31,757900.0,288002.0,75790.0,800615.8181818179,288000.9,523638.0,80493.61818181816,442714.8999999999,528894.4545454545
2022-09-30,757900.0,288002.0,151580.0,872730.0,288000.9,698184.0,148717.7818181818,408973.8999999999,165482.21818181823
2022-10-31,757900.0,288002.0,151580.0,349092.0,288000.9,174546.0,734542.3999999998,453205.29999999993,76014.9818181818
2022-11-30,757900.0,288002.0,151580.0,698184.0,230400.72000000003,174546.0,1179289.6363636362,580349.0800000001,200124.47272727272
2022-12-31,378950.0,288002.0,0.0,436365.0,288000.9,0.0,500311.18181818177,550342.2999999999,0.0
