Month,Cost_EUR,Accumulated_Cost,Coal_Bought,Oil_Bought,Gas_Bought,Coal_Generated,Oil_Generated,Gas_Generated,Coal_Stored,Oil_Stored,Gas_Stored
2020-01-31,22136854.335797913,22136854.335797913,783157.8947368421,0.0,1550199.2727272725,297600.0,0.0,852609.5999999999,0.0,0.0,0.0
2020-02-29,23050008.51650926,45186862.85230717,798315.7894736843,0.0,2038886.727272727,276597.54,0.0,818977.8599999999,70427.52631578948,0.0,549836.0727272729
2020-03-31,9578366.795045277,54765229.64735245,613255.2631578946,0.0,745583.0727272724,279975.14999999997,0.0,839925.4499999998,0.0,0.0,150545.45454545453
2020-04-30,14223341.488932027,68988571.13628447,447086.99999999994,0.0,1779269.8909090909,141791.15999999997,0.0,838198.44,73952.36842105263,0.0,405818.1818181818
2020-05-31,14023172.209960418,83011743.34624489,631029.3157894736,0.0,2270549.9454545453,112407.59999999998,0.0,892800.0,409172.21052631567,0.0,1053095.4
2020-06-30,16773845.644180097,99785588.99042499,528530.5263157892,86400.0,2183563.6363636362,122342.3999999999,0.0,864000.0,713153.6842105263,86400.0,1979736.3272727274
2020-07-31,12810968.609962014,112596557.600387,173304.4736842104,0.0,2204509.090909091,83112.41999999993,0.0,875734.98,667741.2631578948,86400.0,2592000.0
2020-08-31,9395733.834194578,121992291.43458158,283181.84210526315,0.0,947046.2181818183,164358.77999999997,0.0,877995.42,518400.0,86400.0,1942690.9090909092
2020-09-30,22541178.303750865,144533469.73833245,779115.7894736843,0.0,1566052.3636363638,278774.4,0.0,729486.6000000001,736698.9473684211,172800.0,2507058.5454545454
2020-10-31,4508148.13293621,149041617.87126866,523452.6315789475,0.0,78294.32727272721,297600.0,0.0,809403.5999999999,476993.68421052647,172800.0,1113709.9636363639
2020-11-30,17966945.48566792,167008563.35693657,864000.0,0.0,916518.7636363633,288000.0,0.0,831505.8,583098.9473684211,172800.0,518400.0
2020-12-31,54052013.98779021,221060577.3447268,823578.9473684211,432000.0,2062298.1818181816,292612.8,0.0,847915.2,745263.1578947369,864000.0,1816634.1818181819
2021-01-31,26601614.626520004,247662191.9712468,432000.0,67641.81818181797,1024093.0909090909,297600.0,117852.29999999994,819591.2999999999,394105.2631578947,574513.6363636364,1350561.272727273
2021-02-28,36042877.071527414,283705069.0427742,745263.1578947369,142513.63636363635,1411620.5454545454,268800.0,94059.0,806400.0,432000.0,432000.0,1296000.0
2021-03-31,36731804.429146565,320436873.4719208,795284.2105263158,0.0,1740646.7999999998,297600.0,0.0,874724.3999999999,746526.3157894737,734400.0,2353438.8
2021-04-30,39293894.42805416,359730767.89997494,773810.5263157894,0.0,1640620.9636363636,288000.0,0.0,810001.8,762442.1052631579,734400.0,2521329.2181818183
2021-05-31,20059589.579258367,379790357.4792333,795284.2105263158,0.0,500054.89090909075,297600.0,0.0,794518.2,774568.4210526316,734400.0,1576805.5636363637
2021-06-30,74321701.21608269,454112058.695316,768505.2631578948,86400.0,2106775.418181818,288000.0,0.0,758416.2,814989.4736842106,864000.0,2521734.4363636365
2021-07-31,64128402.37280564,518240461.0681217,791242.105263158,0.0,1452831.3818181816,285120.0,0.0,760411.2,855915.7894736843,864000.0,2592000.0
2021-08-31,45728561.86194906,563969022.9300708,477978.94736842107,0.0,848025.1636363635,297600.0,0.0,777356.4,550736.8421052631,864000.0,2026649.890909091
